dt,AverageTemperature,Year,Month,Days delta,Season,MA,Season offset
1933-11-01,8.632,1933.8333333333333,11,8705,3,13.058750000000002,-4.426750000000002
1933-12-01,3.726000000000001,1933.9166666666667,12,8735,0,12.687,-8.960999999999999
1934-01-01,6.339,1934.0,1,8766,0,12.778666666666666,-6.439666666666666
1934-02-01,6.48,1934.0833333333333,2,8797,0,12.706583333333333,-6.226583333333332
1934-03-01,9.019,1934.1666666666667,3,8825,1,12.578333333333333,-3.559333333333333
1934-04-01,12.542,1934.25,4,8856,1,12.581583333333334,-0.039583333333334636
1934-05-01,15.74,1934.3333333333333,5,8886,1,12.643833333333333,3.096166666666667
1934-06-01,18.272,1934.4166666666667,6,8917,2,12.779083333333332,5.492916666666666
1934-07-01,20.594,1934.5,7,8947,2,12.809333333333333,7.784666666666668
1934-08-01,18.467,1934.5833333333333,8,8978,2,12.624,5.842999999999998
1934-09-01,18.045,1934.6666666666667,9,9009,3,12.641666666666666,5.403333333333336
1934-10-01,13.62,1934.75,10,9039,3,12.623,0.9969999999999999
1934-11-01,8.629,1934.8333333333333,11,9070,3,12.622750000000002,-3.993750000000002
1934-12-01,9.846,1934.9166666666667,12,9100,0,13.132750000000001,-3.2867500000000014
1935-01-01,5.675,1935.0,1,9131,0,13.077416666666666,-7.402416666666666
1935-02-01,8.097000000000001,1935.0833333333333,2,9162,0,13.212166666666668,-5.115166666666667
1935-03-01,9.204,1935.1666666666667,3,9190,1,13.227583333333335,-4.023583333333335
1935-04-01,11.593,1935.25,4,9221,1,13.1485,-1.5555000000000003
1935-05-01,13.636,1935.3333333333333,5,9251,1,12.973166666666666,0.6628333333333334
1935-06-01,18.525,1935.4166666666667,6,9282,2,12.994250000000001,5.530749999999998
1935-07-01,20.299,1935.5,7,9312,2,12.969666666666667,7.329333333333333
1935-08-01,19.016,1935.5833333333333,8,9343,2,13.015416666666667,6.000583333333331
1935-09-01,17.389,1935.6666666666667,9,9374,3,12.960749999999999,4.42825
1935-10-01,12.738,1935.75,10,9404,3,12.88725,-0.14925000000000033
1935-11-01,10.329,1935.8333333333333,11,9435,3,13.028916666666666,-2.699916666666665
1935-12-01,7.066000000000002,1935.9166666666667,12,9465,0,12.797249999999998,-5.731249999999997
1936-01-01,9.045,1936.0,1,9496,0,13.078083333333334,-4.033083333333334
1936-02-01,7.79,1936.0833333333333,2,9527,0,13.0525,-5.2625
1936-03-01,10.575,1936.1666666666667,3,9556,1,13.166749999999999,-2.5917499999999993
1936-04-01,11.015999999999998,1936.25,4,9587,1,13.118666666666664,-2.102666666666666
1936-05-01,15.153,1936.3333333333333,5,9617,1,13.245083333333334,1.907916666666667
1936-06-01,17.477999999999998,1936.4166666666667,6,9648,2,13.157833333333334,4.320166666666664
1936-07-01,18.607,1936.5,7,9678,2,13.016833333333333,5.590166666666667
1936-08-01,19.217,1936.5833333333333,8,9709,2,13.033583333333333,6.183416666666666
1936-09-01,17.375,1936.6666666666667,9,9740,3,13.032416666666668,4.342583333333332
1936-10-01,11.369000000000002,1936.75,10,9770,3,12.918333333333335,-1.5493333333333332
1936-11-01,9.657,1936.8333333333333,11,9801,3,12.862333333333334,-3.205333333333334
1936-12-01,7.4300000000000015,1936.9166666666667,12,9831,0,12.892666666666665,-5.462666666666664
1937-01-01,8.325,1937.0,1,9862,0,12.832666666666666,-4.507666666666667
1937-02-01,9.684,1937.0833333333333,2,9893,0,12.990499999999999,-3.3064999999999998
1937-03-01,8.761000000000001,1937.1666666666667,3,9921,1,12.839333333333334,-4.078333333333333
1937-04-01,12.206,1937.25,4,9952,1,12.9385,-0.7324999999999999
1937-05-01,16.06,1937.3333333333333,5,9982,1,13.014083333333332,3.045916666666667
1937-06-01,18.125,1937.4166666666667,6,10013,2,13.067999999999998,5.057000000000002
1937-07-01,19.662,1937.5,7,10043,2,13.155916666666668,6.506083333333331
1937-08-01,20.01,1937.5833333333333,8,10074,2,13.222,6.788000000000002
1937-09-01,16.945999999999998,1937.6666666666667,9,10105,3,13.186250000000001,3.759749999999997
1937-10-01,13.709,1937.75,10,10135,3,13.38125,0.32775
1937-11-01,9.688,1937.8333333333333,11,10166,3,13.383833333333333,-3.695833333333333
1937-12-01,6.3660000000000005,1937.9166666666667,12,10196,0,13.295166666666665,-6.9291666666666645
1938-01-01,7.402,1938.0,1,10227,0,13.21825,-5.816249999999999
1938-02-01,7.1640000000000015,1938.0833333333333,2,10258,0,13.008249999999999,-5.844249999999997
1938-03-01,11.516000000000002,1938.1666666666667,3,10286,1,13.237833333333334,-1.7218333333333327
1938-04-01,10.561,1938.25,4,10317,1,13.10075,-2.5397499999999997
1938-05-01,13.681,1938.3333333333333,5,10347,1,12.902500000000002,0.7784999999999975
1938-06-01,18.334,1938.4166666666667,6,10378,2,12.919916666666667,5.414083333333332
1938-07-01,18.855,1938.5,7,10408,2,12.852666666666666,6.002333333333334
1938-08-01,19.191,1938.5833333333333,8,10439,2,12.784416666666665,6.406583333333334
1938-09-01,17.01,1938.6666666666667,9,10470,3,12.789749999999998,4.220250000000004
1938-10-01,13.505,1938.75,10,10500,3,12.772750000000002,0.7322499999999987
1938-11-01,12.028,1938.8333333333333,11,10531,3,12.96775,-0.9397500000000001
1938-12-01,6.1370000000000005,1938.9166666666667,12,10561,0,12.948666666666668,-6.811666666666667
1939-01-01,8.342,1939.0,1,10592,0,13.027000000000001,-4.6850000000000005
1939-02-01,7.939,1939.0833333333333,2,10623,0,13.091583333333334,-5.152583333333334
1939-03-01,8.283999999999999,1939.1666666666667,3,10651,1,12.822249999999999,-4.53825
1939-04-01,12.399,1939.25,4,10682,1,12.975416666666668,-0.5764166666666686
1939-05-01,13.505,1939.3333333333333,5,10712,1,12.960749999999999,0.5442500000000017
1939-06-01,17.727999999999998,1939.4166666666667,6,10743,2,12.91025,4.817749999999998
1939-07-01,18.524,1939.5,7,10773,2,12.882666666666667,5.641333333333334
1939-08-01,19.098,1939.5833333333333,8,10804,2,12.874916666666666,6.223083333333333
1939-09-01,16.699,1939.6666666666667,9,10835,3,12.848999999999998,3.850000000000003
1939-10-01,12.461,1939.75,10,10865,3,12.761999999999999,-0.3009999999999984
1939-11-01,11.499,1939.8333333333333,11,10896,3,12.717916666666667,-1.2189166666666669
1939-12-01,6.3740000000000006,1939.9166666666667,12,10926,0,12.737666666666668,-6.363666666666667
1940-01-01,3.1330000000000005,1940.0,1,10957,0,12.30358333333333,-9.17058333333333
1940-02-01,7.935,1940.0833333333333,2,10988,0,12.303249999999998,-4.368249999999999
1940-03-01,10.325,1940.1666666666667,3,11017,1,12.473333333333334,-2.148333333333335
1940-04-01,12.198,1940.25,4,11048,1,12.456583333333333,-0.2585833333333323
1940-05-01,15.298,1940.3333333333333,5,11078,1,12.606,2.692
1940-06-01,17.908,1940.4166666666667,6,11109,2,12.621,5.287000000000001
1940-07-01,18.443,1940.5,7,11139,2,12.61425,5.828750000000001
1940-08-01,18.58,1940.5833333333333,8,11170,2,12.571083333333334,6.008916666666664
1940-09-01,16.89,1940.6666666666667,9,11201,3,12.587000000000002,4.302999999999999
1940-10-01,12.724,1940.75,10,11231,3,12.608916666666667,0.11508333333333276
1940-11-01,10.482,1940.8333333333333,11,11262,3,12.524166666666666,-2.0421666666666667
1940-12-01,4.774,1940.9166666666667,12,11292,0,12.390833333333333,-7.616833333333333
1941-01-01,4.43,1941.0,1,11323,0,12.498916666666668,-8.068916666666668
1941-02-01,7.615,1941.0833333333333,2,11354,0,12.47225,-4.8572500000000005
1941-03-01,10.141,1941.1666666666667,3,11382,1,12.456916666666666,-2.3159166666666664
1941-04-01,10.816999999999998,1941.25,4,11413,1,12.341833333333334,-1.5248333333333353
1941-05-01,12.786,1941.3333333333333,5,11443,1,12.1325,0.6534999999999993
1941-06-01,18.083,1941.4166666666667,6,11474,2,12.147083333333333,5.935916666666666
1941-07-01,20.132,1941.5,7,11504,2,12.287833333333333,7.844166666666668
1941-08-01,18.027,1941.5833333333333,8,11535,2,12.241749999999998,5.785250000000003
1941-09-01,16.789,1941.6666666666667,9,11566,3,12.233333333333334,4.555666666666667
1941-10-01,12.817,1941.75,10,11596,3,12.241083333333336,0.5759166666666644
